Nombre,Tipo de Fondo,Tipo de Pesca,Latitud,Longitud
Restinga Ramirez,Piedra,Pejerrey,-34.92774161,-56.18073463
Las Grandes,Piedra,Variada,-34.93421544,-56.18425369
Boya del Barro,Lodo F,Variada,-34.94589517,-56.20193481
Calpean Star,Lodo,Variada,-34.95633,-56.22817
Del Chino Leiva,Lodo,Variada,-34.95405593,-56.19884491
Diabla,Piedra,Pejerrey,-34.94097018,-56.16794586
1ª boya oeste,Lodo (conchillas),Variada,-34.94286986,-56.17318153
2ª boya oeste,Lodo (conchillas),Variada,-34.95124196,-56.17326736
3ª boya,Lodo,Variada,-34.9592615,-56.16880417
3ª boya afuera,Lodo,Variada,-34.9675616,-56.16519928
2ª boya este,Lodo (conchillas),Variada,-34.95138267,-56.16030693
Manolo,Lodo (conchillas),Variada,-34.95694014,-56.14863396
Las Barricas,Lodo y piedra,Variada,-34.9377336,-56.15009308
Descanso,Piedra,Variada,-34.93097859,-56.15060806
Triángulo Chico,Lodo,Variada,-34.95264896,-56.1384201
Don Braulio,Lodo,Variada,-34.97183,-56.12717
Buceo Chico,Lodo (conchillas),Variada,-34.92506749,-56.11610413
Triángulo Grande,Lodo,Variada,-34.92394152,-56.16725922
Canal de la Restinga,Lodo,Variada,-34.90571272,-56.08477592
El Negrito,Lodo y piedra,Variada,-34.90592388,-56.08151436
La Restinga,Piedra,Variada,-34.91155482,-56.08194351
Bajo Forest King,Piedra,Variada,-34.91795954,-56.07421875
Bajo Coimbra,Piedra,Variada,-34.90845785,-56.07001305
Las Pipas,Piedra,Variada,-34.91282173,-56.05353355
Canaleta de las Pipas,Greda,Variada,-34.91394785,-56.04692459
Bajo Sara,Piedra,Variada,-34.92689716,-56.03971481
Canal boya 13.500,Lodo,Variada,-35.00743254,-56.17086411
Del Catta,Lodo,Variada,-34.9845812,-56.18082047
Isla de Flores (1),Piedra,"Pejerrey, Burel y Anchoa",-34.94251807,-55.9784317
Isla de Flores (2),Piedra,"Pejerrey, Burel y Anchoa",-34.93266739,-55.9731102
